name,teacherName,schoolName,schoolSN,id,url
设计思维与创新设计,张克俊,浙江大学,ZJU,1003462001,https://www.icourse163.org/course/ZJU-1003462001
Python语言基础与应用,陈斌,北京大学,PKU,1003479006,https://www.icourse163.org/course/PKU-1003479006
数据库系统（上）：模型与语言,战德臣,哈尔滨工业大学,HIT,1001516002,https://www.icourse163.org/course/HIT-1001516002
大学计算机—计算思维导论,战德臣,哈尔滨工业大学,HIT,7001,https://www.icourse163.org/course/HIT-7001
离散结构,袁景凌,武汉理工大学,WHUT,1002576003,https://www.icourse163.org/course/WHUT-1002576003
C语言程序设计精髓,苏小红,哈尔滨工业大学,HIT,69005,https://www.icourse163.org/course/HIT-69005
计算机网络基础及应用,丁晟春,南京理工大学,NJUST,1001755037,https://www.icourse163.org/course/NJUST-1001755037
大学信息技术基础,陈琼,福建农林大学,FAFU,1002081025,https://www.icourse163.org/course/FAFU-1002081025
数据库系统原理,党德鹏,北京师范大学,BNU,1002842007,https://www.icourse163.org/course/BNU-1002842007
C语言程序设计(下),李凤霞,北京理工大学,BIT,46004,https://www.icourse163.org/course/BIT-46004
人工智能与信息社会,陈斌,北京大学,PKU,1003471009,https://www.icourse163.org/course/PKU-1003471009
C++程序设计,魏英,西北工业大学,NWPU,494001,https://www.icourse163.org/course/NWPU-494001
数据挖掘,丁兆云,国防科技大学,NUDT,1461782176,https://www.icourse163.org/course/NUDT-1461782176
Java程序设计,唐大仕,北京大学,PKU,1001941004,https://www.icourse163.org/course/PKU-1001941004
科学计算与MATLAB语言,刘卫国,中南大学,CSU,1002475002,https://www.icourse163.org/course/CSU-1002475002
人工智能：模型与算法,吴飞,浙江大学,ZJU,1003377027,https://www.icourse163.org/course/ZJU-1003377027
大数据技术原理与应用,林子雨,厦门大学,XMU,1002335004,https://www.icourse163.org/course/XMU-1002335004
信息安全数学基础,陈恭亮,上海交通大学,SJTU,1003379015,https://www.icourse163.org/course/SJTU-1003379015
程序设计与算法（一）C语言程序设计,郭炜,北京大学,PKU,1001553023,https://www.icourse163.org/course/PKU-1001553023
Web编程技术,谢涛,西安交通大学,XJTU,1003679001,https://www.icourse163.org/course/XJTU-1003679001
编译原理,王挺,国防科技大学,NUDT,1003101005,https://www.icourse163.org/course/NUDT-1003101005
网络技术与应用实验,俞海英,中国人民解放军陆军工程大学,PAEU,1003123003,https://www.icourse163.org/course/PAEU-1003123003
数据库系统（中）：建模与设计,战德臣,哈尔滨工业大学,HIT,1001554030,https://www.icourse163.org/course/HIT-1001554030
数据库系统（下）：管理与技术,战德臣,哈尔滨工业大学,HIT,1001578001,https://www.icourse163.org/course/HIT-1001578001
Spark编程基础,林子雨,厦门大学,XMU,1205811805,https://www.icourse163.org/course/XMU-1205811805
程序设计基础,苏小红,哈尔滨工业大学,HIT,56001,https://www.icourse163.org/course/HIT-56001
网络技术与应用,杨庚,南京邮电大学,NJUPT,1001639008,https://www.icourse163.org/course/NJUPT-1001639008
软件工程,孙艳春,北京大学,PKU,1003177002,https://www.icourse163.org/course/PKU-1003177002
计算机原理,唐玉华,国防科技大学,NUDT,359002,https://www.icourse163.org/course/NUDT-359002
网站设计与开发,杨选辉,南昌大学,NCU,1205813837,https://www.icourse163.org/course/NCU-1205813837
用Python玩转数据,张莉,南京大学,NJU,1001571005,https://www.icourse163.org/course/NJU-1001571005
计算机网络自学笔记,徐建,杭州电子科技大学,HDU,1002598057,https://www.icourse163.org/course/HDU-1002598057
数据库原理与应用,宋金玉,中国人民解放军陆军工程大学,PAEU,1003647009,https://www.icourse163.org/course/PAEU-1003647009
程序设计与算法（三）C++面向对象程序设计,郭炜,北京大学,PKU,1002029030,https://www.icourse163.org/course/PKU-1002029030
c#程序设计,唐大仕,北京大学,PKU,1001663016,https://www.icourse163.org/course/PKU-1001663016
计算机组成原理,纪禄平,电子科技大学,UESTC,1001543002,https://www.icourse163.org/course/UESTC-1001543002
大数据导论（通识课版）,林子雨,厦门大学,XMU,1460600161,https://www.icourse163.org/course/XMU-1460600161
数据结构,陈仲民,华中农业大学,HZAU,1002739008,https://www.icourse163.org/course/HZAU-1002739008
计算机组成原理,秦磊华,华中科技大学,HUST,1003159001,https://www.icourse163.org/course/HUST-1003159001
C语言程序设计,曾智勇,福建师范大学,FJNU,1002580004,https://www.icourse163.org/course/FJNU-1002580004
计算机程序设计（C++）,赵英良,西安交通大学,XJTU,46006,https://www.icourse163.org/course/XJTU-46006
计算机编码与密码学,周敏,西北工业大学,NWPU,1002530019,https://www.icourse163.org/course/NWPU-1002530019
大学计算机—计算思维导论CAP,战德臣,哈尔滨工业大学,HIT,1001617006,https://www.icourse163.org/course/HIT-1001617006
大学计算机CAP,吴宁,西安交通大学,XJTU,1002057028,https://www.icourse163.org/course/XJTU-1002057028
大数据算法,王宏志,哈尔滨工业大学,HIT,10001,https://www.icourse163.org/course/HIT-10001
算法设计与分析,童咏昕,北京航空航天大学,BUAA,1449777166,https://www.icourse163.org/course/BUAA-1449777166
Python数据分析与展示,嵩天,北京理工大学,BIT,1001870002,https://www.icourse163.org/course/BIT-1001870002
集合论与图论（下）,姜守旭,哈尔滨工业大学,HIT,1003781003,https://www.icourse163.org/course/HIT-1003781003
集合论与图论（上）,姜守旭,哈尔滨工业大学,HIT,1003779006,https://www.icourse163.org/course/HIT-1003779006
